Domain_Code,Domain,Area_Code_M49,Area,Element_Code,Element,Item_Code_CPC,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2004,2004,ha,2770.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2004,2004,kg/ha,8411.6,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2004,2004,t,23300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2005,2005,ha,2710.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2005,2005,kg/ha,8487.1,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2005,2005,t,23000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2006,2006,ha,2540.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2006,2006,kg/ha,7992.1,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2006,2006,t,20300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2007,2007,ha,2520.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2007,2007,kg/ha,8531.7,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2007,2007,t,21500.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2008,2008,ha,2450.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2008,2008,kg/ha,8612.2,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2008,2008,t,21100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2009,2009,ha,2340.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2009,2009,kg/ha,8376.1,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2009,2009,t,19600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2010,2010,ha,2290.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2010,2010,kg/ha,8559.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2010,2010,t,19600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2011,2011,ha,2230.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2011,2011,kg/ha,8340.8,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2011,2011,t,18600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2012,2012,ha,2150.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2012,2012,kg/ha,7953.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2012,2012,t,17100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2013,2013,ha,2110.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2013,2013,kg/ha,8530.8,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2013,2013,t,18000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2014,2014,ha,2070.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2014,2014,kg/ha,8599.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2014,2014,t,17800.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2015,2015,ha,2020.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2015,2015,kg/ha,8316.8,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2015,2015,t,16800.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2016,2016,ha,1980.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2016,2016,kg/ha,7424.2,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2016,2016,t,14700.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2017,2017,ha,1900.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2017,2017,kg/ha,8157.9,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2017,2017,t,15500.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2018,2018,ha,1810.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2018,2018,kg/ha,8011.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2018,2018,t,14500.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2019,2019,ha,1790.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2019,2019,kg/ha,7877.1,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2019,2019,t,14100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2020,2020,ha,1770.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2020,2020,kg/ha,8644.1,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2020,2020,t,15300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2021,2021,ha,1690.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2021,2021,kg/ha,8224.9,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2021,2021,t,13900.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2022,2022,ha,1580.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2022,2022,kg/ha,8354.4,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2022,2022,t,13200.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2023,2023,ha,1548.0,I,Imputed value,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2023,2023,kg/ha,8228.3,E,Estimated value,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2023,2023,t,12740.11,I,Imputed value,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2000,2000,ha,59600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2000,2000,kg/ha,41694.6,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2000,2000,t,2485000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2001,2001,ha,57800.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2001,2001,kg/ha,42785.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2001,2001,t,2473000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2002,2002,ha,56300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2002,2002,kg/ha,42575.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2002,2002,t,2397000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2003,2003,ha,55100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2003,2003,kg/ha,42477.3,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2003,2003,t,2340500.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2004,2004,ha,53500.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2004,2004,kg/ha,40486.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2004,2004,t,2166000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2005,2005,ha,53300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2005,2005,kg/ha,42932.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2005,2005,t,2288300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2006,2006,ha,33000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2006,2006,kg/ha,70130.3,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2006,2006,t,2314300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2007,2007,ha,32700.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2007,2007,kg/ha,69617.7,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2007,2007,t,2276500.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2008,2008,ha,33000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2008,2008,kg/ha,70012.1,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2008,2008,t,2310400.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2009,2009,ha,33200.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2009,2009,kg/ha,69551.2,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2009,2009,t,2309100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2010,2010,ha,33300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2010,2010,kg/ha,67528.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2010,2010,t,2248700.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2011,2011,ha,33700.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2011,2011,kg/ha,67430.3,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2011,2011,t,2272400.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2012,2012,ha,34100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2012,2012,kg/ha,42316.7,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2012,2012,t,1443000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2013,2013,ha,34300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2013,2013,kg/ha,41982.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2013,2013,t,1440000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2014,2014,ha,34700.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2014,2014,kg/ha,42651.3,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2014,2014,t,1480000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2015,2015,ha,34700.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2015,2015,kg/ha,42334.3,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2015,2015,t,1469000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2016,2016,ha,34600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2016,2016,kg/ha,41791.9,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2016,2016,t,1446000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2017,2017,ha,34800.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2017,2017,kg/ha,41034.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2017,2017,t,1428000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2018,2018,ha,34600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2018,2018,kg/ha,42398.8,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2018,2018,t,1467000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2019,2019,ha,34600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2019,2019,kg/ha,42543.4,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2019,2019,t,1472000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2020,2020,ha,34000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2020,2020,kg/ha,42176.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2020,2020,t,1434000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2021,2021,ha,34300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2021,2021,kg/ha,43294.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2021,2021,t,1485000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2022,2022,ha,33900.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2022,2022,kg/ha,43008.8,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2022,2022,t,1458000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01212,Cabbages,2023,2023,ha,33800.0,I,Imputed value,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01212,Cabbages,2023,2023,kg/ha,42025.6,E,Estimated value,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01212,Cabbages,2023,2023,t,1420448.22,I,Imputed value,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01229,Cantaloupes and other melons,2000,2000,ha,13800.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01229,Cantaloupes and other melons,2000,2000,kg/ha,23007.2,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01229,Cantaloupes and other melons,2000,2000,t,317500.0,A,Official figure,No additional notes
